RegionName,StateName,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30
California,CA,160569,160342,160195,159908,159714,159561,159467,159452,159478,159628,159805,160060,160077,160157,160322,160784,161340,161924,162640,163404,164259,165030,165922,166938,168353,169918,171417,172689,173839,175032,176110,177289,178577,179945,181209,182285,183554,184896,186301,187557,188860,190401,192046,193504,194812,196345,198202,200251,202242,204146,206106,208223,210536,212947,215426,218068,220793,223433,226063,228722,231271,233909,236661,239570,242175,244462,246480,248470,250504,252636,254731,256830,258964,261284,263676,266267,269041,272294,275982,279883,283710,287570,291671,295901,299954,303665,307388,311119,314974,318284,321952,326006,330749,335473,340557,345636,351498,357737,364358,371146,378759,387402,395870,403732,411194,418651,425657,432795,439381,446523,453493,460866,467330,473298,479414,485773,492366,498598,503667,508164,511916,515057,518034,520225,522689,523969,524377,523977,522465,520741,519239,517809,516354,514417,512237,510009,506630,502979,498530,493859,488313,481839,475325,468049,460767,451647,441315,430099,419059,408908,398746,389221,380543,372766,364108,355562,347657,342772,338478,334509,330929,328359,327088,326214,325642,325653,327138,329111,330572,330377,331146,332311,334015,333551,332274,330627,329328,327615,325271,323255,321547,320097,317903,315671,312602,310798,309369,307968,306298,304470,303745,302577,301847,301293,301468,302148,303670,305571,307869,310759,314109,318243,322055,327088,332064,337961,344486,351783,359256,366793,374186,381391,387755,393287,398357,402764,407235,410908,413063,414112,414718,415546,416850,417535,418784,420125,422568,424374,426274,428431,431676,434383,437218,439405,441552,444108,447042,450223,452719,456192,459259,461918,463573,466207,468733,471415,473710,476649,479359,482329,484845,487024,489429,492025,495135,497946,501172,504584,507550,510238,513250,516590,520613,524808,529186,533544,537312,540325,542987,545528,547640,548691,548882,549056,549367,549053,548609,547716,547563,548632,550571,552615,553245,553252,553215,553888,555054,557563,561290,566149,571625,575765,576455,576019,577779,583261,589875,596686,603922,611570,619542,628206,637594,649255,665203,683996
Texas,TX,98663,98688,98717,98844,98983,99100,99189,99312,99467,99649,99867,100109,100133,100135,100125,100258,100353,100483,100617,100786,100966,101211,101442,101682,102159,102615,103066,103192,103404,103619,103931,104172,104398,104471,104508,104514,104736,105226,105899,106647,107338,108022,108675,109232,109690,110228,110818,111411,111797,112080,112253,112444,112485,112525,112527,112718,112968,113217,113514,113841,114070,114063,113900,113803,113891,113996,114122,114169,114276,114404,114495,114585,114690,114929,115272,115696,116124,116620,117107,117604,118027,118413,118815,119203,119483,119572,119563,119602,119732,119970,120195,120480,120722,121037,121319,121643,122227,123270,124636,125786,126643,127142,127742,128294,128965,129583,130172,130756,131384,131795,132049,132228,132490,132887,133219,133563,133851,134035,134342,134579,134947,135359,135816,136258,136778,137316,137866,138338,138848,139517,140089,140669,141072,141365,141572,141896,142263,142682,142981,143450,143902,144297,144568,144802,144602,144197,143638,143286,142893,142517,142227,141824,141320,140770,140181,139619,139315,139303,139370,139252,139093,138953,138920,138834,138779,138707,138920,139090,139182,139157,139170,139264,139289,139169,138697,138162,137624,137193,136676,136246,135833,135305,134728,134152,133685,133257,133071,133046,133142,133165,133037,132867,132840,133078,133427,133727,134047,134401,134834,135221,135517,135801,136257,136852,137549,138197,138958,139811,140684,141565,142467,143412,144456,145555,146647,147610,148484,149384,150185,150958,151765,152695,153579,154538,155494,156481,157462,158480,159511,160535,161631,162748,163790,164815,165822,166797,167692,168646,169514,170425,171376,172299,173194,174060,175101,176083,177152,178084,179080,179982,181108,182297,183367,184429,185359,186349,187186,188051,188828,189629,190495,191487,192473,193352,194150,194979,195990,197102,198195,199230,200153,201100,201843,202669,203393,204345,205441,206469,207254,207753,208300,208810,209387,209935,210502,210743,211045,211355,212112,212768,213781,214595,215300,215760,216457,217574,219097,221039,223260,225708,228092,230952,234009,237786,242119,247210
New York,NY,138610,138296,138111,137831,137729,137663,137584,137502,137465,137484,137541,137645,137621,137899,138201,138569,138700,138867,139170,139471,139763,139983,140410,140869,141728,142224,142694,142794,143053,143317,143451,143863,144364,145141,145609,146097,146354,146879,147442,148307,149246,150251,151565,152631,153687,154446,155281,156037,156781,157833,159048,160407,161612,162790,163719,164564,165383,166347,167537,168785,170054,171101,172147,173175,174293,175415,176582,177803,179010,180321,181672,183094,184552,185950,187174,188426,189714,191142,192603,194156,195702,197207,198750,200423,202089,203857,205962,207946,209844,211528,213243,215152,217141,219185,220939,222581,224355,226136,227761,229453,231338,233494,235719,237802,239967,242039,244399,246611,248862,251123,253337,255712,258040,260287,262584,264935,267439,269924,272182,274496,276506,278383,279951,281352,282587,283888,284950,285821,286253,286522,286648,286818,286927,287078,287356,287474,287735,287719,287834,287880,287890,288143,288402,288384,288299,287878,287439,286745,285756,284689,283402,282212,280932,279340,277635,276049,274513,273098,271692,270415,269249,268033,266953,265971,265363,265094,265021,264982,264813,264768,264617,264795,264875,265256,265389,265169,264562,263649,262795,261865,261256,260667,260231,259371,258467,257279,256372,255712,255268,254942,254448,254052,253586,253007,252487,252125,252073,252151,252262,252441,252635,252770,253044,253403,253796,254388,254893,255644,256330,257145,257950,258651,259353,260184,261033,261781,262526,263246,264091,264704,265214,265587,265859,266205,266572,267025,267468,268060,268632,269090,269390,269796,270304,270969,271734,272480,273225,273800,274367,274766,275199,275938,276883,277866,278703,279366,280059,280864,281721,282715,283775,285087,286335,287297,288144,289173,290570,292227,293777,295189,296515,297910,299335,300613,302004,303502,305055,306513,307843,309178,310587,312043,313500,314689,315726,316669,317727,318809,320132,321296,322426,323158,323585,323819,323788,323646,323665,324122,325080,326282,327573,329043,330054,331040,332314,334321,336932,339991,343285,346645,349903,353342,357017,361111,366121,371880
Florida,FL,101472,101569,101682,101894,102097,102329,102551,102752,102883,103019,103172,103364,103374,103440,103522,103830,104115,104366,104609,104865,105162,105428,105737,106047,106747,107331,107847,107943,108113,108224,108390,108641,109089,109625,110017,110320,110400,110604,110848,111297,111748,112383,113044,113639,114038,114387,114867,115394,115965,116538,117196,117907,118585,119211,119806,120413,121090,121809,122592,123405,124249,125130,126029,126947,127899,128868,129923,131014,132175,133351,134503,135623,136716,137765,138794,139842,140932,142066,143201,144403,145576,146814,148075,149526,151031,152620,154184,155760,157271,158688,160051,161409,162937,164636,166477,168253,170089,171948,173884,175783,177904,180278,182917,185798,188782,191824,194867,198144,201615,205321,209215,213398,217893,222762,228054,233439,238791,243826,248643,253220,257524,261368,265233,269063,272461,275017,276541,277438,277586,277387,276999,276127,275120,273847,272262,270107,267577,264612,261386,258067,254847,251606,248074,244456,240370,236197,231630,227283,222699,218485,214178,209837,205499,201069,196547,192216,188174,184520,181012,177468,174295,171360,169059,166984,165112,163584,162639,161780,161084,160319,159805,159321,158776,157963,156860,155558,154183,152682,151061,149544,147992,146553,145037,143680,142390,141377,140451,139822,139342,139097,138950,138837,138836,138885,139196,139678,140265,140953,141750,142659,143621,144667,145761,147026,148508,150180,151901,153656,155570,157480,159536,161647,163799,165711,167569,169265,170843,172177,173466,174557,175578,176446,177327,177971,178708,179707,180799,181902,182924,184077,185225,186371,187561,188831,190028,191391,192810,194225,195500,196889,198386,199965,201319,202675,203931,205355,206840,208250,209505,210665,212005,213298,214643,215848,217125,218524,219929,221312,222565,223954,225323,226704,227931,229169,230144,231288,232620,234060,235529,236793,238027,239086,240136,241113,242173,243316,244396,245162,245679,246160,246573,247081,247745,248199,248607,249055,249767,250554,251620,253124,254808,256447,257576,258220,258829,260218,262308,264696,267233,270102,273294,276745,280653,285154,290727,297390
Illinois,IL,127993,127980,127893,127957,127876,127995,128017,128878,129969,131760,131710,131372,130452,130814,131297,131539,132013,132169,132277,130742,128733,125572,125655,126445,128459,128576,128756,128989,129195,129396,129956,131415,133395,135917,137152,137923,137883,138494,139115,139852,140492,141428,142399,143336,143999,144772,145243,145763,146445,147557,148672,149672,150641,151562,152413,153367,154377,155404,156448,157533,158571,159475,160400,161389,162521,163607,164614,165572,166604,167703,168812,169785,170691,171634,172745,173701,174710,175664,176851,177989,179076,180114,181040,182137,183203,184409,185452,186612,187577,188500,189367,190458,191720,192956,194135,195171,196398,197565,198773,200050,201429,203003,204451,205821,206953,208176,209562,211088,212428,213777,215106,216560,218005,219504,221023,222495,224155,225769,227249,228595,229836,231128,232202,233257,234125,234888,235440,236050,236465,236818,237017,237348,237823,238419,238270,238147,237324,237116,236306,235977,235157,234664,233994,233184,232344,230100,229383,226938,226271,223532,222327,219619,218055,215439,213311,210262,207165,204840,202269,200495,198047,196252,194804,193636,192056,190796,189645,189483,188907,188639,187259,187131,185979,186003,183810,182662,180844,179857,177929,176280,174635,173368,172198,170315,169013,167146,166693,165576,165006,163218,162307,160837,160056,158492,158119,157630,157623,157180,156554,155982,155461,155798,156342,156922,157598,158500,159125,160044,160660,161882,163018,164632,166052,167638,168457,169511,170128,171050,171450,171621,172048,172780,173542,173975,174512,174818,175396,175794,176169,176287,176797,177600,178380,178611,178887,179131,179471,179715,180011,180477,181076,182123,183014,183763,184273,184927,185709,186453,187088,187793,188657,189591,190594,191366,192281,193121,193927,194555,195103,195803,196578,197426,198208,199056,199902,200571,200975,201372,201919,202610,203097,203488,203845,204164,204505,204727,204963,205302,205766,206283,206840,207230,207462,207475,207156,206806,206567,206667,207273,207664,208372,208715,209187,209517,210261,211345,212960,214764,216668,218569,220297,222445,224610,227345,230249,233661
Pennsylvania,PA,97541,97473,97406,97295,97195,97147,97112,97152,97179,97263,97365,97499,97600,97706,97868,98087,98356,98605,98879,99015,99178,99280,99475,99695,100003,100291,100516,100653,100768,100858,100952,101194,101482,101825,102003,102102,102167,102305,102495,102739,102967,103238,103517,103773,104042,104291,104620,105013,105457,105976,106480,106972,107457,107913,108361,108743,109144,109571,110075,110609,111138,111611,112113,112628,113091,113536,113987,114487,114982,115471,116034,116582,117169,117750,118385,119041,119687,120320,120979,121766,122572,123427,124171,124978,125800,126647,127476,128305,129222,130200,131146,132031,132937,133912,134838,135726,136564,137693,138810,139966,141118,142309,143648,144900,146240,147459,148850,150254,151775,152960,154179,155437,156809,158237,159674,161282,162828,164329,165720,167071,168268,169362,170362,171368,172376,173405,174240,174926,175449,175939,176316,176661,177078,177553,178069,178409,178712,178860,179165,179421,179624,179751,179901,180025,179969,179807,179449,179113,178642,178153,177444,176723,176073,175505,174859,174100,173302,172703,172219,171786,171328,170942,170696,170466,170325,170283,170445,170669,170982,171182,171374,171506,171561,171501,171219,170779,170085,169258,168322,167456,166640,165879,165132,164289,163467,162639,162006,161579,161359,161163,160915,160613,160274,159941,159648,159479,159410,159330,159213,159124,159061,159084,159139,159281,159475,159681,159897,160195,160525,160940,161371,161739,162082,162332,162640,162860,163104,163336,163535,163591,163612,163759,164000,164192,164303,164419,164570,164793,164969,165110,165403,165838,166384,166654,166821,167008,167346,167736,168084,168335,168744,169300,169664,169883,169961,170408,170895,171471,171911,172381,172918,173636,174136,174582,175004,175725,176504,177255,177983,178715,179519,180367,181130,181871,182729,183636,184865,185926,186971,187623,188212,188715,189276,189774,190391,191014,191786,192610,193258,193829,194505,195321,196078,196651,197079,197509,197924,198457,199091,199948,201006,202136,202840,203705,204874,206661,208610,210772,213118,215609,218185,220829,223639,226794,230609,234684
Ohio,OH,93596,93709,93857,94166,94487,94783,95045,95338,95642,95949,96253,96568,96871,97175,97463,97757,98060,98395,98754,99063,99359,99631,99923,100229,100597,101005,101397,101726,102044,102385,102776,103174,103580,104029,104454,104808,105063,105338,105675,106024,106308,106570,106846,107175,107520,107875,108247,108708,109250,109786,110231,110694,111239,111828,112327,112777,113218,113648,114089,114511,114928,115302,115707,116101,116466,116774,117115,117478,117837,118181,118494,118786,119058,119333,119636,119934,120242,120541,120854,121140,121430,121739,122106,122486,122861,123228,123565,123927,124283,124685,125091,125565,126033,126489,126854,127213,127535,127903,128281,128649,129020,129360,129721,130008,130308,130594,130928,131261,131656,132045,132433,132777,133072,133375,133643,133953,134233,134533,134855,135161,135396,135539,135664,135788,135910,135988,136062,136085,136029,135960,135869,135773,135682,135638,135471,135238,134935,134672,134342,134021,133793,133541,133144,132743,132365,131972,131623,131192,130788,130319,129944,129523,129021,128377,127850,127216,126497,125634,124861,124280,123806,123358,122887,122444,122096,121913,121730,121634,121538,121621,121556,121486,121305,121094,120654,120142,119561,118978,118337,117656,117090,116505,116007,115352,114726,114142,113780,113493,113216,112890,112610,112387,112103,111795,111592,111492,111360,111164,111008,110964,111014,111070,111106,111171,111370,111658,111904,112177,112524,112980,113390,113788,114085,114487,114837,115133,115156,115114,115068,115137,115270,115478,115727,115877,116086,116234,116542,116929,117492,118095,118638,119093,119562,120005,120447,120868,121274,121667,122037,122371,122785,123189,123711,124189,124627,125048,125515,126062,126637,127229,127876,128587,129342,130053,130702,131365,132027,132717,133332,134095,134899,135795,136565,137286,137794,138451,139182,140166,141091,141932,142732,143354,143907,144423,145073,145797,146629,147444,148233,148799,149466,150162,150947,151556,152209,152768,153147,153650,154336,155204,156026,156917,157888,158908,159986,161383,162889,164584,166509,168437,170355,172267,174395,176723,179151,181756
Michigan,MI,91595,91922,92234,92907,93572,94251,94864,95434,95958,96477,97049,97674,98329,98931,99559,100114,100702,101208,101805,102476,103217,103956,104618,105190,105774,106390,106997,107568,108124,108751,109393,110011,110640,111286,111928,112590,113116,113781,114415,115207,115942,116781,117583,118397,119161,119914,120670,121434,122327,123119,123966,124735,125596,126397,127282,128098,128864,129580,130380,131208,131945,132587,133195,133814,134444,134998,135534,136086,136713,137301,137821,138291,138819,139362,139928,140397,140755,141109,141408,141758,142044,142383,142736,143108,143449,143853,144127,144520,144975,145532,146049,146521,147032,147570,148061,148531,148969,149378,149863,150267,150676,151061,151519,151941,152314,152684,153056,153426,153813,154126,154477,154819,155223,155502,155716,155936,156213,156435,156613,156754,156888,157017,157046,156969,156760,156449,156177,155783,155391,154836,154256,153529,152775,152082,151409,150784,149916,149116,148090,147348,146223,145065,143717,142690,141706,140517,139049,137248,135520,133770,132034,130012,128212,126737,125335,123543,121306,119193,117166,115441,113754,112152,110912,109791,108902,107806,106972,106262,106005,105630,105411,105274,105296,105327,104917,104356,103533,102806,101996,101357,100637,100094,99403,98699,97954,97255,96767,96568,96599,96659,96667,96677,96726,96751,97034,97365,97855,98368,99039,99671,100272,101014,101845,102628,103434,104462,105645,106892,108089,109306,110619,112019,113500,114821,116067,117342,118639,119757,120603,121333,122100,122951,123676,124245,124682,125173,125736,126251,126782,127354,128094,128749,129281,129751,130274,130902,131418,131935,132540,133352,134109,134813,135309,136083,136908,137842,138770,139654,140744,141834,142828,143696,144553,145476,146552,147611,148775,149767,150613,151480,152364,153327,154360,155374,156614,157873,159106,160191,161214,162374,163449,164439,165204,165916,166569,167432,168199,168996,169642,170405,171429,172529,173400,173759,174024,174253,174713,175152,176008,176912,178299,179711,180510,180783,181235,182655,184545,186628,188742,191007,193193,195598,197999,200692,204132,208337
Georgia,GA,104500,104661,104826,105182,105540,105921,106274,106631,106980,107359,107755,108183,108530,108928,109353,109864,110343,110776,111247,111765,112332,112877,113405,113941,114692,115377,115988,116370,116868,117433,118039,118630,119200,119794,120415,121001,121479,121990,122600,123344,124055,124783,125542,126245,126959,127651,128359,129038,129682,130439,131252,132157,133000,133836,134641,135500,136360,137251,138148,139130,140134,140973,141709,142347,143066,143744,144424,145095,145744,146361,146937,147482,147986,148531,149035,149556,150034,150526,150976,151358,151745,152145,152543,152870,153224,153575,153989,154311,154594,154853,155143,155480,155806,156110,156431,156829,157230,157656,158065,158530,158972,159373,159783,160250,160754,161295,161797,162259,162667,163063,163488,164004,164625,165294,165903,166456,167041,167623,168273,168842,169491,170094,170663,171103,171498,171956,172487,173010,173471,173886,174281,174741,175192,175621,176031,176364,176580,176627,176559,176427,176144,175817,175420,175085,174462,173660,172627,171768,170928,170011,168913,167680,166499,165186,163585,161608,159774,158059,156469,154570,152712,151016,149756,148684,147720,146694,145911,145352,144772,144132,143521,143273,143087,142708,141744,140465,138902,137554,136128,134968,133716,132688,131358,129889,128201,126713,125587,124929,124648,124391,124084,123414,122915,122404,122478,122668,123078,123509,124030,124363,124530,124748,125355,126205,127276,128391,129480,130502,131618,132834,134068,135445,136898,138377,139623,140924,142028,143122,144002,144888,145656,146366,147138,147859,148631,149339,150072,150738,151389,152006,152610,153306,154158,155076,155863,156629,157364,158065,158757,159429,160283,161119,162104,163067,163958,164677,165313,165962,166505,167239,168048,169036,169852,170743,171623,172546,173471,174542,175748,176934,178329,179640,181057,182405,183858,185250,186455,187678,188969,190341,191664,192920,194106,195280,196423,197479,198466,199361,200488,201558,202560,203233,203904,204701,205509,206213,206644,207177,207973,209163,210398,211548,212384,213250,214256,215631,217268,219214,221618,224286,227072,229930,233025,236602,240890,245778
North Carolina,NC,111953,112170,112365,112769,113168,113619,114098,114567,114978,115464,116004,116584,117148,117703,118309,118882,119415,119855,120247,120733,121314,121770,122152,122494,122939,123320,123663,124007,124499,125048,125619,126070,126495,126980,127441,127880,128189,128591,128977,129456,129821,130179,130555,130928,131328,131682,132113,132568,133027,133576,134132,134736,135287,135830,136326,136789,137240,137711,138264,138826,139429,139844,140223,140523,140862,141187,141461,141801,142126,142482,142711,142905,143066,143266,143493,143679,143914,144130,144408,144623,144837,145030,145243,145458,145693,145937,146200,146438,146682,146882,147111,147380,147659,147919,148182,148502,148895,149287,149665,150029,150357,150728,151069,151422,151829,152279,152804,153324,153760,154273,154743,155356,155949,156669,157429,158226,159009,159849,160675,161503,162310,163110,163942,164763,165641,166475,167357,168224,169085,169864,170568,171255,171987,172625,173279,173898,174565,175218,175769,176267,176635,176909,177174,177398,177570,177589,177521,177364,177126,176745,176281,175844,175370,174852,174142,173363,172528,171931,171329,170600,169693,168831,168144,167397,166768,166247,165940,165597,165283,164809,164399,164156,164021,163785,163261,162670,161991,161360,160675,160049,159342,158644,157824,156866,156005,155324,154827,154307,153890,153351,152845,152348,151986,151716,151529,151548,151468,151331,151200,151258,151315,151425,151552,151670,151831,151991,152327,152678,153158,153669,154199,154726,155202,155745,156213,156795,157278,157779,158088,158341,158555,158745,158905,158986,159180,159406,159803,160193,160687,161181,161812,162350,162822,163264,163833,164493,165060,165565,165978,166355,166780,167298,167779,168393,169139,170067,170959,171799,172682,173548,174468,175414,176309,177129,178037,179014,179961,180775,181493,182308,183198,184289,185328,186415,187502,188662,189736,190673,191672,192735,193925,195024,196062,196911,197878,198848,199908,200794,201663,202628,203513,204375,205108,205873,206695,207590,208512,209393,210146,211095,212164,213452,214628,215645,216767,218199,219997,222014,224223,226749,229652,232816,236271,239922,244129,248950
